row_index,group_fold,media_source,is_fake
14475,0,reuters,0
14476,0,reuters,0
14477,0,reuters,0
14478,0,reuters,0
14479,0,reuters,0
14480,0,reuters,0
14481,0,reuters,0
14482,0,reuters,0
14483,0,reuters,0
14484,0,reuters,0
14485,0,reuters,0
14486,0,reuters,0
14487,0,reuters,0
14488,0,reuters,0
14489,0,reuters,0
14490,0,reuters,0
14491,0,reuters,0
14492,0,reuters,0
14493,0,reuters,0
14494,0,reuters,0
14495,0,reuters,0
14496,0,reuters,0
14497,0,reuters,0
14498,0,reuters,0
14499,0,reuters,0
14500,0,reuters,0
14501,0,reuters,0
14502,0,reuters,0
14503,0,reuters,0
14504,0,reuters,0
14505,0,reuters,0
14506,0,reuters,0
14507,0,reuters,0
14508,0,reuters,0
14509,0,reuters,0
14510,0,reuters,0
14511,0,reuters,0
14512,0,reuters,0
14513,0,reuters,0
14514,0,reuters,0
14515,0,reuters,0
14516,0,reuters,0
14517,0,reuters,0
14518,0,reuters,0
14519,0,reuters,0
14520,0,reuters,0
14521,0,reuters,0
14522,0,reuters,0
14523,0,reuters,0
14524,0,reuters,0
14525,0,reuters,0
14526,0,reuters,0
14527,0,reuters,0
14528,0,reuters,0
14529,0,reuters,0
14530,0,reuters,0
14531,0,reuters,0
14532,0,reuters,0
14533,0,reuters,0
14534,0,reuters,0
14535,0,reuters,0
14536,0,reuters,0
14537,0,reuters,0
14538,0,reuters,0
14539,0,reuters,0
14540,0,reuters,0
14541,0,reuters,0
14542,0,reuters,0
14543,0,reuters,0
14544,0,reuters,0
14545,0,reuters,0
14546,0,reuters,0
14547,0,reuters,0
14548,0,reuters,0
14549,0,reuters,0
14550,0,reuters,0
14551,0,reuters,0
14552,0,reuters,0
14553,0,reuters,0
14554,0,reuters,0
14555,0,reuters,0
14556,0,reuters,0
14557,0,reuters,0
14558,0,reuters,0
14559,0,reuters,0
14560,0,reuters,0
14561,0,reuters,0
14562,0,reuters,0
14563,0,reuters,0
14564,0,reuters,0
14565,0,reuters,0
14566,0,reuters,0
14567,0,reuters,0
14568,0,reuters,0
14569,0,reuters,0
14570,0,reuters,0
14571,0,reuters,0
14572,0,reuters,0
14573,0,reuters,0
14574,0,reuters,0
14575,0,reuters,0
14576,0,reuters,0
14577,0,reuters,0
14578,0,reuters,0
14579,0,reuters,0
14580,0,reuters,0
14581,0,reuters,0
14582,0,reuters,0
14583,0,reuters,0
14584,0,reuters,0
14585,0,reuters,0
14586,0,reuters,0
14587,0,reuters,0
14588,0,reuters,0
14589,0,reuters,0
14590,0,reuters,0
14591,0,reuters,0
14592,0,reuters,0
14593,0,reuters,0
14594,0,reuters,0
14595,0,reuters,0
14596,0,reuters,0
14597,0,reuters,0
14598,0,reuters,0
14599,0,reuters,0
14600,0,reuters,0
14601,0,reuters,0
14602,0,reuters,0
14603,0,reuters,0
14604,0,reuters,0
14605,0,reuters,0
14606,0,reuters,0
14607,0,reuters,0
14608,0,reuters,0
14609,0,reuters,0
14610,0,reuters,0
14611,0,reuters,0
14612,0,reuters,0
14613,0,reuters,0
14614,0,reuters,0
14615,0,reuters,0
14616,0,reuters,0
14617,0,reuters,0
14618,0,reuters,0
14619,0,reuters,0
14620,0,reuters,0
14621,0,reuters,0
14622,0,reuters,0
14623,0,reuters,0
14624,0,reuters,0
14625,0,reuters,0
14626,0,reuters,0
14627,0,reuters,0
14628,0,reuters,0
14629,0,reuters,0
14630,0,reuters,0
14631,0,reuters,0
14632,0,reuters,0
14633,0,reuters,0
14634,0,reuters,0
14635,0,reuters,0
14636,0,reuters,0
14637,0,reuters,0
14638,0,reuters,0
14639,0,reuters,0
14640,0,reuters,0
14641,0,reuters,0
14642,0,reuters,0
14643,0,reuters,0
14644,0,reuters,0
14645,0,reuters,0
14646,0,reuters,0
14647,0,reuters,0
14648,0,reuters,0
14649,0,reuters,0
14650,0,reuters,0
14651,0,reuters,0
14652,0,reuters,0
14653,0,reuters,0
14654,0,reuters,0
14655,0,reuters,0
14656,0,reuters,0
14657,0,reuters,0
14658,0,reuters,0
14659,0,reuters,0
14660,0,reuters,0
14661,0,reuters,0
14662,0,reuters,0
14663,0,reuters,0
14664,0,reuters,0
14665,0,reuters,0
14666,0,reuters,0
14667,0,reuters,0
14668,0,reuters,0
14669,0,reuters,0
14670,0,reuters,0
14671,0,reuters,0
14672,0,reuters,0
14673,0,reuters,0
14674,0,reuters,0
14675,0,reuters,0
14676,0,reuters,0
14677,0,reuters,0
14678,0,reuters,0
14679,0,reuters,0
14680,0,reuters,0
14681,0,reuters,0
14682,0,reuters,0
14683,0,reuters,0
14684,0,reuters,0
14685,0,reuters,0
14686,0,reuters,0
14687,0,reuters,0
14688,0,reuters,0
14689,0,reuters,0
14690,0,reuters,0
14691,0,reuters,0
14692,0,reuters,0
14693,0,reuters,0
14694,0,reuters,0
14695,0,reuters,0
14696,0,reuters,0
14697,0,reuters,0
14698,0,reuters,0
14699,0,reuters,0
14700,0,reuters,0
14701,0,reuters,0
14702,0,reuters,0
14703,0,reuters,0
14704,0,reuters,0
14705,0,reuters,0
14706,0,reuters,0
14707,0,reuters,0
14708,0,reuters,0
14709,0,reuters,0
14710,0,reuters,0
14711,0,reuters,0
14712,0,reuters,0
14713,0,reuters,0
14714,0,reuters,0
14715,0,reuters,0
14716,0,reuters,0
14717,0,reuters,0
14718,0,reuters,0
14719,0,reuters,0
14720,0,reuters,0
14721,0,reuters,0
14722,0,reuters,0
14723,0,reuters,0
14724,0,reuters,0
14725,0,reuters,0
14726,0,reuters,0
14727,0,reuters,0
14728,0,reuters,0
14729,0,reuters,0
14730,0,reuters,0
14731,0,reuters,0
14732,0,reuters,0
14733,0,reuters,0
14734,0,reuters,0
14735,0,reuters,0
14736,0,reuters,0
14737,0,reuters,0
14738,0,reuters,0
14739,0,reuters,0
14740,0,reuters,0
14741,0,reuters,0
14742,0,reuters,0
14743,0,reuters,0
14744,0,reuters,0
14745,0,reuters,0
14746,0,reuters,0
14747,0,reuters,0
14748,0,reuters,0
14749,0,reuters,0
14750,0,reuters,0
14751,0,reuters,0
14752,0,reuters,0
14753,0,reuters,0
14754,0,reuters,0
14755,0,reuters,0
14756,0,reuters,0
14757,0,reuters,0
14758,0,reuters,0
14759,0,reuters,0
14760,0,reuters,0
14761,0,reuters,0
14762,0,reuters,0
14763,0,reuters,0
14764,0,reuters,0
14765,0,reuters,0
14766,0,reuters,0
14767,0,reuters,0
14768,0,reuters,0
14769,0,reuters,0
14770,0,reuters,0
14771,0,reuters,0
14772,0,reuters,0
14773,0,reuters,0
14774,0,reuters,0
14775,0,reuters,0
14776,0,reuters,0
14777,0,reuters,0
14778,0,reuters,0
14779,0,reuters,0
14780,0,reuters,0
14781,0,reuters,0
14782,0,reuters,0
14783,0,reuters,0
14784,0,reuters,0
14785,0,reuters,0
14786,0,reuters,0
14787,0,reuters,0
14788,0,reuters,0
14789,0,reuters,0
14790,0,reuters,0
14791,0,reuters,0
14792,0,reuters,0
14793,0,reuters,0
14794,0,reuters,0
14795,0,reuters,0
14796,0,reuters,0
14797,0,reuters,0
14798,0,reuters,0
14799,0,reuters,0
14800,0,reuters,0
14801,0,reuters,0
14802,0,reuters,0
14803,0,reuters,0
14804,0,reuters,0
14805,0,reuters,0
14806,0,reuters,0
14807,0,reuters,0
14808,0,reuters,0
14809,0,reuters,0
14810,0,reuters,0
14811,0,reuters,0
14812,0,reuters,0
14813,0,reuters,0
14814,0,reuters,0
14815,0,reuters,0
14816,0,reuters,0
14817,0,reuters,0
14818,0,reuters,0
14819,0,reuters,0
14820,0,reuters,0
14821,0,reuters,0
14822,0,reuters,0
14823,0,reuters,0
14824,0,reuters,0
14825,0,reuters,0
14826,0,reuters,0
14827,0,reuters,0
14828,0,reuters,0
14829,0,reuters,0
14830,0,reuters,0
14831,0,reuters,0
14832,0,reuters,0
14833,0,reuters,0
14834,0,reuters,0
14835,0,reuters,0
14836,0,reuters,0
14837,0,reuters,0
14838,0,reuters,0
14839,0,reuters,0
14840,0,reuters,0
14841,0,reuters,0
14842,0,reuters,0
14843,0,reuters,0
14844,0,reuters,0
14845,0,reuters,0
14846,0,reuters,0
14847,0,reuters,0
14848,0,reuters,0
14849,0,reuters,0
14850,0,reuters,0
14851,0,reuters,0
14852,0,reuters,0
14853,0,reuters,0
14854,0,reuters,0
14855,0,reuters,0
14856,0,reuters,0
