cv_scheme,fold,n_test,unseen_source_ratio,accuracy,macro_f1
random_kfold,0,9297,0.0,1.0,1.0
random_kfold,1,9297,0.0,1.0,1.0
random_kfold,2,9297,0.0,1.0,1.0
random_kfold,3,9297,0.0,1.0,1.0
random_kfold,4,9297,0.0,1.0,1.0
random_kfold,5,9297,0.0,1.0,1.0
random_kfold,6,9297,0.0,1.0,1.0
random_kfold,7,9297,0.0,1.0,1.0
random_kfold,8,9297,0.0,1.0,1.0
random_kfold,9,9296,0.0,1.0,1.0
group_kfold_by_source,0,14993,1.0,0.0,0.0
group_kfold_by_source,1,11813,1.0,0.0,0.0
group_kfold_by_source,2,11519,1.0,0.0,0.0
group_kfold_by_source,3,11315,1.0,0.0,0.0
group_kfold_by_source,4,9811,1.0,0.0,0.0
group_kfold_by_source,5,8137,1.0,0.0,0.0
group_kfold_by_source,6,7536,1.0,0.0,0.0
group_kfold_by_source,7,6576,1.0,0.0,0.0
group_kfold_by_source,8,5439,1.0,1.0,1.0
group_kfold_by_source,9,5830,1.0,0.0,0.0
