quantile,k_prefix_tweets,pearson_prefix_vs_total,auc_prefix_for_label,avg_prefix_to_total_ratio
0.5,1,-0.012516942777873064,0.5737217598097503,0.049363131192907805
0.5,3,0.0010254472250385061,0.5980975029726516,0.10463564435680733
0.5,5,7.577653748170623e-06,0.6467829303738936,0.16551495364362748
0.5,10,0.0025040490590096227,0.664552781080724,0.26552629793310384
0.75,1,-0.012516942777873064,0.5592657342657342,0.049363131192907805
0.75,3,0.0010254472250385061,0.5576048951048951,0.10463564435680733
0.75,5,7.577653748170623e-06,0.6302447552447552,0.16551495364362748
0.75,10,0.0025040490590096227,0.676048951048951,0.26552629793310384
0.9,1,-0.012516942777873064,0.6164529914529915,0.049363131192907805
0.9,3,0.0010254472250385061,0.5628561253561254,0.10463564435680733
0.9,5,7.577653748170623e-06,0.6061253561253561,0.16551495364362748
0.9,10,0.0025040490590096227,0.5888532763532763,0.26552629793310384
0.95,1,-0.012516942777873064,0.6612794612794612,0.049363131192907805
0.95,3,0.0010254472250385061,0.5774410774410774,0.10463564435680733
0.95,5,7.577653748170623e-06,0.5505050505050505,0.16551495364362748
0.95,10,0.0025040490590096227,0.5367003367003367,0.26552629793310384
