quantile,k_prefix_tweets,pearson_prefix_vs_total,auc_prefix_for_label,avg_prefix_to_total_ratio
0.5,1,0.009565122938889302,0.5783991765513185,0.03653167852991864
0.5,3,0.05696070478988676,0.6190201940986177,0.0734852598706798
0.5,5,0.20991066837271746,0.6597882560533281,0.0966585338155658
0.5,10,0.2705148183502323,0.7266567003234977,0.13807072173007187
0.75,1,0.009565122938889302,0.546874489429141,0.03653167852991864
0.75,3,0.05696070478988676,0.6104957030356502,0.0734852598706798
0.75,5,0.20991066837271746,0.6598862856582688,0.0966585338155658
0.75,10,0.2705148183502323,0.7116295787994641,0.13807072173007187
0.9,1,0.009565122938889302,0.5945037962776322,0.03653167852991864
0.9,3,0.05696070478988676,0.6808775112544514,0.0734852598706798
0.9,5,0.20991066837271746,0.758550023516764,0.0966585338155658
0.9,10,0.2705148183502323,0.8118658872539138,0.13807072173007187
0.95,1,0.009565122938889302,0.6848190973517344,0.03653167852991864
0.95,3,0.05696070478988676,0.8182891955737909,0.0734852598706798
0.95,5,0.20991066837271746,0.8969911724480915,0.0966585338155658
0.95,10,0.2705148183502323,0.907497202536367,0.13807072173007187
