dataset,task,metric,model_a,model_b,n_folds,n_repeats,n_signflip_units,mean_diff,ci_low,ci_high,effect_size,p_value,min_possible_p,p_value_holm,holm_threshold_005,holm_feasible_005,min_folds_for_holm_005,significant_holm_005
evons,disinformation,accuracy,logreg_bert,logreg_mistral,10,1,10,-0.0037323867914380803,-0.004743465634075472,-0.002780466817252836,-1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_bert,mlp_bert,10,1,10,-0.011159513821662881,-0.012337313111756464,-0.009933311821017487,-1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_bert,mlp_mistral,10,1,10,-0.018269334193825936,-0.01942024308916851,-0.017150693772184554,-1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_bert,rf_bert,10,1,10,0.02223835645907284,0.02141551037969238,0.02308271485425407,1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_bert,rf_mistral,10,1,10,0.0399698827578789,0.03884048617833713,0.041228353232225436,1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_bert,xgboost_bert,10,1,10,-0.0011293965795417637,-0.0017371195009142748,-0.0005162955792190505,-0.49,0.01171875,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_bert,xgboost_mistral,10,1,10,0.01200387221684417,0.010944390663654945,0.013014951059481583,1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_mistral,mlp_bert,10,1,10,-0.0074271270302248005,-0.008965257609981703,-0.0060288265031730685,-1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_mistral,mlp_mistral,10,1,10,-0.014536947402387857,-0.015639453587178654,-0.013439819296547273,-1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_mistral,rf_bert,10,1,10,0.02597074325051092,0.025013445197375493,0.026997956329998917,1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_mistral,rf_mistral,10,1,10,0.043702269549316976,0.042771861890932586,0.04467570183930295,1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_mistral,xgboost_bert,10,1,10,0.002602990211896317,0.001952242658922232,0.0033505431859739755,0.92,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,logreg_mistral,xgboost_mistral,10,1,10,0.01573625900828225,0.01501559642895559,0.016473055824459504,1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
evons,disinformation,accuracy,mlp_bert,mlp_mistral,10,1,10,-0.007109820372163056,-0.008416693557061417,-0.005905130687318483,-1.0,0.001953125,0.0009765625,0.0546875,0.0017857142857142859,True,10,False
